Status Quo,Light Rehab,Low Rehab,Medium Rehab,High Rehab
-0.0,-1613.67,-1613.67,-1613.67,-1613.67
-1613.67,-3227.34,-3227.34,-3227.34,-3227.34
-3227.34,-4216.01,-3372.6800000000003,-4841.01,-4841.01
-4841.01,-5517.18,-3518.0200000000004,-6454.68,-6454.68
-6454.68,-6818.35,-3663.3600000000006,-8068.35,-8068.35
-8068.35,-8119.52,-3808.7000000000007,-6555.9800000000005,-9682.02
-9682.02,-9420.69,-3954.040000000001,-5043.610000000001,-11295.69
-11295.69,-10721.86,-4099.380000000001,-3531.2400000000016,-12909.36
-12909.36,-12023.03,-4244.720000000001,-2018.8700000000008,-14523.03
-14523.03,-13324.2,-4390.060000000001,-506.5,-16136.7
-16136.7,-14625.370000000003,-4535.400000000003,1005.8699999999953,-17750.370000000003
-17750.370000000003,-15926.54,-4680.740000000002,2518.239999999998,-13559.745000000003
-19364.04,-17227.71,-4826.076666999999,4030.6116669999997,-10982.79
-20977.71,-18528.88,-4971.413334,5542.983334,-8405.835000000001
-22591.38,-19830.050000000003,-5116.750000999999,7055.355001,-5828.880000000001
-24205.050000000003,-21131.22,-5262.086668,8567.726668,-3251.925000000001
-25818.72,-22432.39,-5407.4233349999995,10080.098334999999,-674.9700000000012
-27432.39,-23733.56,-5552.760002,11592.470002,1901.9849999999988
-29046.06,-25034.730000000003,-5698.096669,13104.841669,4478.939999999997
-30659.730000000003,-26335.9,-5843.433336,14617.213335999999,7055.894999999999
-32273.4,-27637.07,-5988.770003,16129.585002999998,9632.85
-33887.07,-28938.24,-6134.10667,17641.95667,12209.804999999998
-35500.740000000005,-30239.410000000003,-6279.443337,19154.328337,14786.759999999997
-37114.41,-31540.58,-6424.780004,20666.700004,17363.714999999997
-38728.08,-32841.75,-6570.116671,22179.071670999998,19940.67
-40341.75,-34142.92,-6715.453337999999,23691.443337999997,22517.624999999993
-41955.42,-35444.090000000004,-6860.790005,25203.815004999997,25094.579999999994
-43569.090000000004,-36745.26,-7006.126672,26716.186671999996,27671.534999999996
-45182.76,-38046.43,-7151.463339,28228.558338999996,30248.489999999998
-46796.43,-39347.600000000006,-7296.8000059999995,29740.930005999995,32825.445
-48410.100000000006,-40648.770000000004,-7442.136673,31253.301672999994,35402.399999999994
-50023.770000000004,-41949.94,-7587.4733400000005,32765.673339999994,37979.354999999996
-51637.44,-43251.11,-7732.810007,34278.045007,40556.31
-53251.11,-44552.28,-7878.146674,35790.41667399999,43133.26499999999
-54864.78,-45853.450000000004,-8023.483341,37302.78834099999,45710.219999999994
-56478.450000000004,-47154.62,-8168.820008,38815.160008,48287.174999999996
